StationID,House,Tree,Imp
D02-HUP0,9575.771378,0.213608011,0.481390999
D02-MOP1,10891.3907,0.166450959,0.604928447
D02-RCP1,7037.755222,0.15694847,0.650312357
D02-SCP1,7303.33534,0.170948988,0.673262142
D03-AFP1,7590.769179,0.194060157,0.602904
D03-AMP1,4863.445641,0.234971502,0.525634088
D03-CHP1,7805.199639,0.174916714,0.575199309
D03-MFP0,5837.92531,0.232310595,0.532410098
D04-DNP1,5709.367251,0.223407005,0.441870666
D04-EDW0,3604.772237,0.485223125,0.280554779
D04-FGP1,3973.145724,0.343070947,0.420220537
D04-RDP1,4000.179988,0.277400864,0.459986606
D05-ADC1,3371.091201,0.296441174,0.346849597
D05-BRP1,3563.787675,0.279884314,0.364224831
D05-MHC1,3967.20111,0.17845154,0.352374174
D05-MIA1,2037.937148,0.283992732,0.469904806
D05-PRC1,2420.516479,0.339893583,0.30003234
D06-KCG1,2434.771194,0.449115705,0.27372089
D07-ASC0,809.7878863,0.327422859,0.251455947
D07-BEC0,1129.115872,0.614437939,0.158297147
D07-NOC1,1532.177926,0.550351127,0.227469269
D07-PLN1,4810.619671,0.142218387,0.465299507
D08-BOR1,1023.808954,0.440186491,0.2449731
D08-CCC1,1856.489391,0.311198314,0.196245669
D08-DAW0,1547.050244,0.572748646,0.200063471
D08-DAW2,3336.758403,0.621834493,0.206757516
D09-BON0,922.0275632,0.166083471,0.363257966
D09-CLG0,643.8688344,0.51896121,0.134625436
D09-RYW1,423.4610336,0.828042289,0.061824906
D09-VTC1,626.2663518,0.466515449,0.204621661
D10-CAN0,84.23948722,0.494289849,0.295276321
D10-KEM1,899.2290197,0.573808616,0.178232224
D10-MAC1,75.782547,0.759112401,0.047485388
D10-VHC1,535.7236937,0.174698354,0.31880527
J01-CLP1,6467.887775,0.143342656,0.666191855
J01-LMP1,5061.787557,0.214646086,0.461410393
J01-SEP1,12189.31408,0.099157181,0.709502934
J01-SKP1,3984.512814,0.126826539,0.750786383
J01-UIC1,4945.247109,0.099309651,0.739061777
R02-ALT1,5437.142688,0.133926747,0.593146227
R02-DPG1,5600.201324,0.211633697,0.502691942
R02-FRP1,4895.622658,0.129959021,0.597529665
R03-AUP1,6750.265291,0.285357325,0.484939512
R03-CPG1,6370.313036,0.262861448,0.467471968
R03-EUC1,5480.641042,0.294382349,0.515265798
R03-MAP1,4412.023375,0.272669832,0.541881234
R04-MMW0,1586.606845,0.244683597,0.314221138
R04-SCH1,2305.108766,0.202047493,0.533064383
R05-FMG1,1014.232732,0.144884864,0.28446192
R05-GOC1,2257.57131,0.279809829,0.359091138
R05-MTC1,1328.756587,0.191634639,0.341883653
R05-STP1,3856.684209,0.219432913,0.535402684
R06-OTB1,3459.563244,0.222338441,0.4362385
R06-SLT1,1782.865927,0.281143227,0.344321266
R06-SLT2,2118.327478,0.329370594,0.308709453
R06-YOW1,625.4488799,0.358699617,0.300871085
R07-FSP1,1863.595601,0.203244336,0.417748229
R07-GOF1,1351.519682,0.256535687,0.247440315
R07-MMP1,2137.386561,0.348926884,0.247277341
R07-YHR1,2335.038171,0.281443393,0.331398225
R08-DAP1,1953.063673,0.423011792,0.254510603
R08-PAP1,1847.856221,0.282780292,0.31551427
R08-VLG1,2500.374701,0.248633339,0.26075997
R08-WBK1,1195.417978,0.36372604,0.249197065
R09-BLW1,1503.766052,0.360347505,0.298175324
R09-CTG0,1088.358863,0.413560975,0.138608335
R09-LIM0,1625.825114,0.368772357,0.257684306
R09-SMI1,1422.642773,0.40506392,0.186412775
R10-FRM1,1520.744559,0.183058431,0.15971617
R10-FRM2,0.132886216,0.089405774,0.082682125
R10-WCP0,474.2456484,0.217913941,0.281882766
R10-WDW0,2557.49066,0.452023302,0.214686443
S02-BRI1,6996.876321,0.112845437,0.580718475
S02-CPR1,4341.901771,0.044294655,0.625570808
S02-MCP1,6824.896764,0.151824008,0.562705986
S02-PIP1,9701.207956,0.108403749,0.507525151
S03-ARP1,6131.398591,0.114815135,0.704844477
S03-LCP1,3243.47675,0.129168977,0.554361825
S03-PSP1,6743.444609,0.128893639,0.640165928
S03-VIP1,4834.805282,0.134258743,0.651480552
S03-WAP1,5853.428305,0.070291616,0.803663613
S04-HAP1,4873.965759,0.117135929,0.669264177
S04-OTW1,3605.324529,0.453509965,0.317757396
S04-SSP1,3059.519824,0.202229566,0.449705214
S04-VFP1,4210.178923,0.129581506,0.681172766
S04-WEP1,4131.659,0.151978706,0.611864726
S05-LNC1,1750.03897,0.305436915,0.343218642
S05-RES1,1827.527955,0.187190404,0.328111362
S05-SFP0,574.4372394,0.174148634,0.434180471
S06-CBW1,628.9173536,0.665810202,0.081616107
S07-SAG1,11.63507392,0.422871099,0.100808569
S07-STJ1,4.05214541,0.543812416,0.061730686
S07-WGL0,42.40644557,0.460368258,0.123286302
S08-WGL1,395.5539863,0.444544146,0.126277455
S08-WGL2,218.0533869,0.477435687,0.041037077
S09-ILC1,86.8557375,0.263074079,0.281470767
S09-KTP1,9.488363929,0.432823041,0.085386482
S09-SMC1,1081.658722,0.209915463,0.264711144
S09-VTW0,38.45563623,0.19119028,0.348147662
S10-ILC1,301.05038,0.208682015,0.203558826
S10-LEW1,481.2163958,0.289636994,0.191128528
S10-LPC1,1359.037317,0.262531361,0.364531681
S10-LPP0,346.1392165,0.180394341,0.108037534
